,time,open,high,low,close,volume,market_cap
85,2019-06-25,311.65,318.99,307.0,318.26,345559.66,345559.65047000
86,2019-06-26,318.29,366.8,315.57,339.39,1008551.3,1008551.28721000
87,2019-06-27,339.53,347.0,280.01,298.35,1016826.44,1016826.44900000
88,2019-06-28,298.35,313.58,295.22,311.05,529174.5,529174.47722000
89,2019-06-29,310.95,324.74,295.18,317.62,425555.16,425555.16264000
90,2019-06-30,317.64,323.5,290.12,292.7,489028.56,489028.56835000
91,2019-07-01,292.89,303.49,280.13,295.07,489769.28,489769.27421000
92,2019-07-02,295.03,297.57,272.65,291.48,493772.97,493772.96579000
93,2019-07-03,291.47,302.89,285.0,301.14,370521.97,370521.96637000
94,2019-07-04,301.11,302.74,280.53,282.73,270791.38,270791.36878000
95,2019-07-05,282.86,294.89,280.78,287.47,261139.28,261139.28341000
96,2019-07-06,287.32,296.71,285.28,288.29,196064.64,196064.64705000
97,2019-07-07,288.29,309.69,284.25,304.72,246111.36,246111.36595000
98,2019-07-08,304.72,313.74,300.78,311.97,289607.34,289607.34177000
99,2019-07-09,311.96,318.19,302.69,307.46,309447.34,309447.34927000
100,2019-07-10,307.46,314.18,281.04,289.23,457080.94,457080.94063000
101,2019-07-11,289.23,289.23,262.12,268.63,501592.75,501592.75211000
102,2019-07-12,268.67,278.99,266.21,274.62,266734.53,266734.54213000
103,2019-07-13,274.53,275.04,262.2,268.79,205959.27,205959.26849000
104,2019-07-14,268.8,269.74,222.81,225.85,540052.56,540052.58421000
105,2019-07-15,225.83,235.58,203.08,228.2,715991.2,715991.20688000
106,2019-07-16,228.2,234.5,192.25,198.88,715604.8,715604.83198000
107,2019-07-17,198.94,219.86,191.84,210.81,694854.1,694854.10132000
108,2019-07-18,210.8,229.65,205.71,225.73,609081.5,609081.49094000
109,2019-07-19,225.75,226.23,212.52,220.73,371622.22,371622.21865000
110,2019-07-20,220.84,235.09,219.78,228.2,325393.97,325393.97225000
111,2019-07-21,228.25,229.66,216.99,225.38,270046.16,270046.15190000
112,2019-07-22,225.49,228.34,212.25,217.51,271310.4,271310.40446000
113,2019-07-23,217.59,219.55,208.36,212.48,317876.47,317876.48242000
114,2019-07-24,212.55,218.28,202.0,216.31,331162.66,331162.64840000
115,2019-07-25,216.31,225.12,215.23,219.14,280370.28,280370.29627000
116,2019-07-26,219.14,220.0,212.71,218.81,197781.98,197781.98653000
117,2019-07-27,218.81,223.3,203.0,207.3,301209.4,301209.41113000
118,2019-07-28,207.3,213.52,198.24,211.62,218801.17,218801.16693000
119,2019-07-29,211.58,215.83,206.59,210.89,226941.28,226941.28000000
120,2019-07-30,210.84,214.36,204.4,209.58,222683.8,222683.79393000
121,2019-07-31,209.57,218.79,209.2,218.42,207213.56,207213.55658000
122,2019-08-01,218.42,219.39,210.54,216.84,186806.19,186806.18844000
123,2019-08-02,216.8,222.18,214.31,217.61,206867.03,206867.03039000
124,2019-08-03,217.69,224.51,216.62,222.14,181591.95,181591.95296000
125,2019-08-04,222.14,223.34,216.9,221.79,135622.03,135622.02580000
126,2019-08-05,221.79,236.25,221.79,233.54,307956.28,307956.27211000
127,2019-08-06,233.53,239.15,223.03,226.28,341279.1,341279.08159000
128,2019-08-07,226.31,231.25,220.95,226.1,279104.72,279104.70370000
129,2019-08-08,226.11,228.5,215.51,221.39,236886.36,236886.35423000
130,2019-08-09,221.38,221.79,207.3,210.53,232062.12,232062.12757000
131,2019-08-10,210.52,215.0,202.6,206.48,252614.03,252614.02389000
132,2019-08-11,206.48,216.94,206.14,216.42,188474.1,188474.09048000
133,2019-08-12,216.41,216.81,209.75,211.41,122760.945,122760.94619000
134,2019-08-13,211.58,214.3,204.0,209.3,166922.48,166922.48201000
135,2019-08-14,209.31,209.9,183.49,187.1,325229.0,325228.98931000
136,2019-08-15,187.08,189.95,181.23,188.03,237953.1,237953.09426000
137,2019-08-16,187.98,188.39,178.04,184.88,282177.03,282177.01584000
138,2019-08-17,184.83,187.0,181.83,185.59,138799.61,138799.61508000
139,2019-08-18,185.67,197.91,183.35,194.33,175363.5,175363.50620000
140,2019-08-19,194.32,203.59,192.7,202.28,239541.6,239541.59780000
141,2019-08-20,202.24,202.75,194.45,196.6,189297.75,189297.75494000
142,2019-08-21,196.55,197.2,179.53,187.45,284973.66,284973.64194000
143,2019-08-22,187.45,195.14,182.8,190.35,245575.98,245575.98772000
144,2019-08-23,190.36,196.19,188.16,194.02,192548.52,192548.51552000
145,2019-08-24,194.02,194.09,185.63,190.6,167806.34,167806.34294000
146,2019-08-25,190.6,192.4,182.8,186.54,169862.92,169862.91522000
147,2019-08-26,186.54,193.7,186.0,188.67,254397.8,254397.79472000
148,2019-08-27,188.61,189.49,184.75,187.24,157898.56,157898.56300000
149,2019-08-28,187.3,188.25,166.48,173.03,334480.62,334480.61761000
150,2019-08-29,173.03,173.5,163.61,169.01,295241.22,295241.21600000
151,2019-08-30,169.03,170.77,165.55,168.5,238616.69,238616.68868000
152,2019-08-31,168.48,174.98,165.63,171.57,194999.2,194999.19583000
153,2019-09-01,171.52,173.42,167.61,170.74,191140.53,191140.52368000
154,2019-09-02,170.73,181.0,170.02,178.05,294627.3,294627.31247000
155,2019-09-03,178.0,183.0,174.09,178.75,327857.84,327857.85447000
156,2019-09-04,178.79,180.14,173.0,174.72,286226.25,286226.25171000
157,2019-09-05,174.7,176.19,168.1,173.75,232753.84,232753.83596000
158,2019-09-06,173.74,177.87,165.0,169.08,315822.38,315822.37984000
159,2019-09-07,169.11,180.8,168.3,177.62,253831.23,253831.23169000
160,2019-09-08,177.58,184.18,176.13,181.19,290083.47,290083.47501000
161,2019-09-09,181.18,185.38,176.01,180.54,273729.94,273729.94868000
162,2019-09-10,180.52,184.36,177.0,179.81,238387.52,238387.50999000
163,2019-09-11,179.87,182.8,173.0,178.28,278555.47,278555.46708000
164,2019-09-12,178.3,182.38,176.62,180.72,203543.14,203543.13663000
165,2019-09-13,180.71,181.38,177.54,180.95,264422.53,264422.54059000
166,2019-09-14,180.96,188.79,179.75,188.13,279371.84,279371.83423000
167,2019-09-15,188.14,190.45,185.76,189.03,288928.6,288928.60827000
168,2019-09-16,189.05,199.44,188.3,197.22,551006.8,551006.81686000
169,2019-09-17,197.23,215.13,195.74,207.84,715863.25,715863.22620000
170,2019-09-18,207.85,217.27,207.66,210.21,539028.5,539028.51013000
171,2019-09-19,210.27,223.94,202.3,220.24,844358.8,844358.82155000
172,2019-09-20,220.26,221.54,212.05,218.03,437804.12,437804.12669000
173,2019-09-21,218.01,221.5,213.2,215.05,417891.53,417891.52420000
174,2019-09-22,215.04,215.61,206.1,211.2,445388.94,445388.94787000
175,2019-09-23,211.2,211.68,198.65,201.29,392437.06,392437.07084000
176,2019-09-24,201.25,202.98,150.03,165.81,1478218.9,1478218.82714000
177,2019-09-25,165.72,174.85,161.88,169.96,879001.44,879001.46213000
178,2019-09-26,169.96,171.01,152.11,165.92,779942.2,779942.17148000
179,2019-09-27,165.92,176.72,161.03,173.79,634932.94,634932.96707000
180,2019-09-28,173.83,175.49,168.0,173.49,521775.47,521775.46593000
181,2019-09-29,173.5,174.5,164.12,169.24,410855.12,410855.12176000
182,2019-09-30,169.26,181.24,165.01,180.85,580295.4,580295.39970000
183,2019-10-01,180.89,185.53,173.19,175.66,609819.6,609819.60828000
