,0,1,2,3,4,5
1250,2020-03-04 11:15:00,148.832,149.33134,148.204,149.1,1529180
1249,2020-03-04 11:30:00,149.136,149.53308,148.068,149.47808,1719675
1248,2020-03-04 11:45:00,149.49934,149.958,147.79074,148.20994,2181615
1247,2020-03-04 12:00:00,148.22324,148.454,145.88,146.08188,3266430
1246,2020-03-04 12:15:00,146.162,147.34006,144.9469,147.04214,2940525
1245,2020-03-04 12:30:00,147.1361,147.552,146.02,146.903,1999300
1244,2020-03-04 12:45:00,146.903,147.338,145.812,146.144,1208905
1243,2020-03-04 13:00:00,146.18968,150.137,146.086,150.053,3448705
1242,2020-03-04 13:15:00,150.03836,150.578,148.228,149.02836,3212225
1241,2020-03-04 13:30:00,148.982,150.29,148.668,148.9112,2445460
1240,2020-03-04 13:45:00,148.97,150.12,147.12254,147.50878,1913080
1239,2020-03-04 14:00:00,147.46226,148.65988,147.422,148.041,1816050
1238,2020-03-04 14:15:00,148.0406,148.4,147.196,147.672,1423255
1237,2020-03-04 14:30:00,147.756,148.222,146.662,147.4,1667530
1236,2020-03-04 14:45:00,147.478,150.0,146.0,146.975,1845330
1235,2020-03-04 15:00:00,146.97296,147.12886,146.2,146.502,1429400
1234,2020-03-04 15:15:00,146.494,147.351,146.43602,147.052,1217195
1233,2020-03-04 15:30:00,147.08,148.89,147.03,148.536,2210965
1232,2020-03-04 15:45:00,148.55112,148.55112,146.906,147.40154,1922620
1231,2020-03-04 16:00:00,147.4838,149.9,147.072,149.9,4210085
1230,2020-03-04 16:15:00,149.898,149.9,148.65,149.398,239320
1229,2020-03-04 16:30:00,149.12,149.9,147.6,148.422,170545
1228,2020-03-04 16:45:00,148.45,149.0,148.218,149.0,48975
1227,2020-03-04 17:00:00,148.99998,149.9,148.5,148.8,52350
1226,2020-03-04 17:15:00,148.9,148.9,148.8,148.8,8705
1225,2020-03-04 17:30:00,148.844,148.998,148.602,148.998,14475
1224,2020-03-04 17:45:00,149.2,149.38,148.8,148.8,15710
1223,2020-03-04 18:00:00,149.032,149.39798,149.032,149.09,69395
1222,2020-03-04 18:15:00,149.236,149.236,148.6,148.6,19655
1221,2020-03-04 18:30:00,148.9,149.188,148.666,149.0,18360
1220,2020-03-04 18:45:00,149.0,149.0,148.8,148.822,19650
1219,2020-03-04 19:00:00,149.098,149.2,148.84,149.176,29780
1218,2020-03-04 19:15:00,149.022,149.022,148.84,148.996,35065
1217,2020-03-04 19:30:00,149.1,149.1,148.82,148.98,13765
1216,2020-03-04 19:45:00,149.078,149.188,149.0,149.168,28295
1215,2020-03-04 20:00:00,149.022,149.1,148.86,148.86,52025
1214,2020-03-05 04:15:00,147.22,147.22,144.8,146.4,27070
1213,2020-03-05 04:45:00,146.12,146.12,146.0,146.0,2910
1212,2020-03-05 05:00:00,146.0,146.0,146.0,146.0,660
1211,2020-03-05 05:15:00,145.0,145.0,143.4,143.4,33215
1210,2020-03-05 05:30:00,143.19,143.6,142.402,142.748,49185
1209,2020-03-05 05:45:00,142.66,144.238,142.66,144.238,76810
1208,2020-03-05 06:00:00,144.158,144.4,143.5,143.5,9395
1207,2020-03-05 06:15:00,143.4,145.4,143.4,145.242,28070
1206,2020-03-05 06:30:00,145.3,145.406,145.0,145.2,24795
1205,2020-03-05 06:45:00,145.2,145.2,144.242,145.012,6360
1204,2020-03-05 07:00:00,145.0,145.0,144.624,145.0,6160
1203,2020-03-05 07:15:00,145.4,146.012,144.416,145.228,214460
1202,2020-03-05 07:30:00,145.2,145.4,144.398,144.802,121420
1201,2020-03-05 07:45:00,144.938,144.938,143.4,144.726,131120
1200,2020-03-05 08:00:00,144.742,145.0,144.24,144.24,73515
1199,2020-03-05 08:15:00,144.2,145.916,143.57604,144.41,177645
1198,2020-03-05 08:30:00,144.538,144.538,142.444,142.84,332900
1197,2020-03-05 08:45:00,142.938,143.9,142.71,143.51,171985
1196,2020-03-05 09:00:00,143.8,144.494,143.55,144.216,218260
1195,2020-03-05 09:15:00,144.1,144.7,144.0,144.7,232270
1194,2020-03-05 09:30:00,144.7,144.8,143.614,144.7,208735
1193,2020-03-05 09:45:00,144.754,147.0,143.614,145.87,5571300
1192,2020-03-05 10:00:00,145.85,146.6,144.306,145.65186,3301445
1191,2020-03-05 10:15:00,145.592,146.79598,144.812,146.71416,3028235
1190,2020-03-05 10:30:00,146.6776,148.286,146.312,146.602,3452600
1189,2020-03-05 10:45:00,146.512,147.844,146.1636,146.83704,2025665
1188,2020-03-05 11:00:00,146.864,148.77,146.73012,147.72704,2514970
1187,2020-03-05 11:15:00,147.654,149.11,147.2007,148.7206,1852395
1186,2020-03-05 11:30:00,148.65652,149.15,148.046,148.41596,2128600
1185,2020-03-05 11:45:00,148.494,148.69774,147.206,147.32,1652035
1184,2020-03-05 12:00:00,147.252,147.894,146.736,147.058,1274200
1183,2020-03-05 12:15:00,147.082,147.4916,146.36886,146.941,1389890
1182,2020-03-05 12:30:00,146.94,147.11188,146.32762,146.832,1156750
1181,2020-03-05 12:45:00,146.798,147.446,145.14,145.14,1730865
1180,2020-03-05 13:00:00,145.12,146.39798,145.048,145.69518,1547165
